PeakID (cmd=annotatePeaks.pl - hg38 -go results/C16_NA_LUT_Up)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
EFCAB5	chr17	29914869	29915625	+	0	NA	intron (NM_001282129, intron 1 of 15)	intron (NM_001282129, intron 1 of 15)	-14656	NM_001145053	374786		NM_198529	ENSG00000176927	EFCAB5	-	EF-hand calcium binding domain 5	protein-coding
KCTD16	chr5	144487194	144488233	+	0	NA	Intergenic	Intergenic	282322	NM_001370486	57528		NM_020768	ENSG00000183775	KCTD16	-	potassium channel tetramerization domain containing 16	protein-coding
DSG2	chr18	31482078	31482265	+	0	NA	Intergenic	Intergenic	-16006	NM_001943	1829		NM_001943	ENSG00000046604	DSG2	CDHF5|HDGC	desmoglein 2	protein-coding
SEMA3E-2	chr7	83695164	83695782	+	0	NA	Intergenic	Intergenic	-46334	NM_012431	9723		NM_012431	ENSG00000170381	SEMA3E	M-SEMAH|M-SemaK|SEMAH|coll-5	semaphorin 3E	protein-coding
THUMPD3	chr3	9311283	9311836	+	0	NA	Intergenic	MER58B|DNA|hAT-Charlie	-51495	NM_001114092	25917		NM_015453	ENSG00000134077	THUMPD3	-	THUMP domain containing 3	protein-coding
GPM6A-2	chr4	175779135	175779649	+	0	NA	intron (NM_201592, intron 1 of 6)	intron (NM_201592, intron 1 of 6)	8284	NM_001261448	2823		NM_005277	ENSG00000150625	GPM6A	GPM6|M6A	glycoprotein M6A	protein-coding
RASEF	chr9	82991788	82991979	+	0	NA	intron (NM_152573, intron 15 of 16)	L2a|LINE|L2	71259	NM_152573	158158		NM_152573	ENSG00000165105	RASEF	RAB45|TSG	RAS and EF-hand domain containing	protein-coding
LINC01031	chr1	194024782	194024972	+	0	NA	Intergenic	X9_LINE|LINE|L1	720132	NR_125789	101929184		NR_125789	ENSG00000232077	LINC01031	TCONS_00000361	long intergenic non-protein coding RNA 1031	ncRNA
SLC35B3	chr6	8420133	8420328	+	0	NA	intron (NR_163441, intron 6 of 11)	Tigger13a|DNA|TcMar-Tigger	15315	NM_001370476	51000		NM_015948	ENSG00000124786	SLC35B3	C6orf196|CGI-19|PAPST2	solute carrier family 35 member B3	protein-coding
PPARGC1A	chr4	23922287	23923065	+	0	NA	intron (NR_148983, intron 2 of 15)	intron (NR_148983, intron 2 of 15)	-32629	NM_001354828	10891		NM_013261	ENSG00000109819	PPARGC1A	LEM6|PGC-1(alpha)|PGC-1alpha|PGC-1v|PGC1|PGC1A|PPARGC1	PPARG coactivator 1 alpha	protein-coding
FLRT3	chr20	14387341	14387732	+	0	NA	intron (NM_001351661, intron 3 of 17)	L1M4|LINE|L1	-49869	NM_013281	23767		NM_013281	ENSG00000125848	FLRT3	HH21	fibronectin leucine rich transmembrane protein 3	protein-coding
LINC02465	chr4	130026257	130026972	+	0	NA	Intergenic	Intergenic	254995	NR_151713	107986313		NR_151713	ENSG00000249618	LINC02465	-	long intergenic non-protein coding RNA 2465	ncRNA
LINC01609	chr8	111150863	111151144	+	0	NA	intron (NR_125418, intron 1 of 3)	L1PA16|LINE|L1	85200	NR_125418	101927487		NR_125418	ENSG00000253103	LINC01609	-	long intergenic non-protein coding RNA 1609	ncRNA
CCKAR	chr4	26508243	26508808	+	0	NA	Intergenic	L1MD2|LINE|L1	-18041	NM_000730	886		NM_000730	ENSG00000163394	CCKAR	CCK-1R|CCK-A|CCK1-R|CCK1R|CCKRA	cholecystokinin A receptor	protein-coding
SYT1-2	chr12	78627825	78628818	+	0	NA	Intergenic	LTR78|LTR|ERV1	-235661	NM_001135805	6857		NM_005639	ENSG00000067715	SYT1	BAGOS|P65|SVP65|SYT	synaptotagmin 1	protein-coding
LOC101927516	chr4	139973152	139973895	+	0	NA	intron (NM_018717, intron 1 of 4)	intron (NM_018717, intron 1 of 4)	-154492	NR_147610	101927516		NR_147610		LOC101927516	-	uncharacterized LOC101927516	ncRNA
DACH1	chr13	71986926	71987334	+	0	NA	Intergenic	L1PA17|LINE|L1	-119926	NM_080759	1602		NM_004392	ENSG00000276644	DACH1	DACH	dachshund family transcription factor 1	protein-coding
LITATS1	chr1	37325092	37325382	+	0	NA	Intergenic	Intergenic	149206	NR_038842	728431		NR_038842	ENSG00000233621	LITATS1	LINC01137|ZC3H12A-DT	lncRNA induced by TGF-beta and antagonizes TGF-beta signaling 1	ncRNA
LINC01892	chr18	4831952	4832305	+	0	NA	Intergenic	Intergenic	-249054	NR_146900	105371969		NR_146900	ENSG00000265514	LINC01892	-	long intergenic non-protein coding RNA 1892	ncRNA
LRRC1	chr6	53820932	53821216	+	0	NA	intron (NM_018214, intron 1 of 13)	intron (NM_018214, intron 1 of 13)	26069	NM_018214	55227		NM_018214	ENSG00000137269	LRRC1	LANO|dJ523E19.1	leucine rich repeat containing 1	protein-coding
LINC01029	chr18	78243528	78244112	+	0	NA	Intergenic	OldhAT1|DNA|hAT-Ac	-250093	NR_104127	101927715		NR_104127	ENSG00000265843	LINC01029	-	long intergenic non-protein coding RNA 1029	ncRNA
AGR3	chr7	17020372	17020609	+	0	NA	Intergenic	L1MA10|LINE|L1	-138507	NM_176813	155465		NM_176813	ENSG00000173467	AGR3	AG-3|AG3|BCMP11|HAG3|PDIA18|hAG-3	anterior gradient 3, protein disulphide isomerase family member	protein-coding
MIR2909	chr17	36993575	36993864	+	0	NA	intron (NM_012138, intron 8 of 11)	intron (NM_012138, intron 8 of 11)	-40026	NR_036056	100422969		NR_036056	ENSG00000276326	MIR2909	-	microRNA 2909	ncRNA
MIR3938	chr3	55934961	55935771	+	0	NA	intron (NM_015576, intron 12 of 16)	intron (NM_015576, intron 12 of 16)	-82772	NR_037502	100500875		NR_037502	ENSG00000264013	MIR3938	-	microRNA 3938	ncRNA
LOC340512	chr9	107070494	107071064	+	0	NA	intron (NR_126029, intron 3 of 4)	intron (NR_126029, intron 3 of 4)	32209	NR_126029	340512		NR_126029	ENSG00000230782	LOC340512	-	uncharacterized LOC340512	ncRNA
ZHX3	chr20	41293864	41294150	+	0	NA	intron (NM_001384325, intron 1 of 4)	intron (NM_001384325, intron 1 of 4)	6113	NM_001384323	23051		NM_015035	ENSG00000174306	ZHX3	TIX1	zinc fingers and homeoboxes 3	protein-coding
LOC105376360-2	chr10	3365239	3366151	+	0	NA	intron (NR_131187, intron 1 of 1)	intron (NR_131187, intron 1 of 1)	47000	NR_131187	105376360		NR_131187		LOC105376360	-	uncharacterized LOC105376360	ncRNA
AGBL2	chr11	47731500	47732136	+	0	NA	intron (NM_015308, intron 11 of 16)	intron (NM_015308, intron 11 of 16)	-16449	NM_024783	79841		NM_024783	ENSG00000165923	AGBL2	CCP2	AGBL carboxypeptidase 2	protein-coding
LINC02349	chr15	61780162	61781037	+	0	NA	Intergenic	L2c|LINE|L2	50681	NR_146448	100506530		NR_146448	ENSG00000259284	LINC02349	-	long intergenic non-protein coding RNA 2349	ncRNA
MIR3938-2	chr3	55895849	55896643	+	0	NA	intron (NM_015576, intron 12 of 16)	intron (NM_015576, intron 12 of 16)	-43652	NR_037502	100500875		NR_037502	ENSG00000264013	MIR3938	-	microRNA 3938	ncRNA
FARS2-AS1	chr6	5511860	5512304	+	0	NA	intron (NM_001374875, intron 4 of 6)	L3|LINE|CR1	-54007	NR_125848	101927972		NR_125846	ENSG00000269985	FARS2-AS1	-	FARS2 antisense RNA 1	ncRNA
PURG	chr8	30993244	30993886	+	0	NA	Intergenic	Intergenic	39236	NM_013357	29942		NM_013357	ENSG00000172733	PURG	PURG-A|PURG-B|PURGA|PURGB	purine rich element binding protein G	protein-coding
PODXL	chr7	131589379	131589869	+	0	NA	Intergenic	L1PB4|LINE|L1	-32996	NM_005397	5420		NM_005397	ENSG00000128567	PODXL	Gp200|PC|PCLP|PCLP-1|PDX|PODXL1|gp135	podocalyxin like	protein-coding
MIR302F-3	chr18	30096649	30097153	+	0	NA	Intergenic	Intergenic	-202009	NR_031684	100302131		NR_031684	ENSG00000283218	MIR302F	MIRN302F|hsa-mir-302f	microRNA 302f	ncRNA
MIR5007	chr13	55553715	55554091	+	0	NA	Intergenic	Intergenic	379449	NR_049804	100846996		NR_049804	ENSG00000264387	MIR5007	-	microRNA 5007	ncRNA
NDST4	chr4	115687192	115687614	+	0	NA	Intergenic	L1PA13|LINE|L1	-573783	NM_022569	64579		NM_022569	ENSG00000138653	NDST4	N-HSST|N-HSST 4|NDST-4|NHSST4	N-deacetylase and N-sulfotransferase 4	protein-coding
CBX2	chr17	79776506	79776836	+	0	NA	Intergenic	Intergenic	-1477	NM_005189	84733		NM_005189	ENSG00000173894	CBX2	CDCA6|M33|SRXY5	chromobox 2	protein-coding
MIR5704	chr3	131796227	131797543	+	0	NA	intron (NM_153429, intron 3 of 16)	intron (NM_153429, intron 3 of 16)	189046	NR_049890	100847040		NR_049890	ENSG00000265859	MIR5704	-	microRNA 5704	ncRNA
PCDH17-4	chr13	57783173	57783580	+	0	NA	Intergenic	L1PA10|LINE|L1	151632	NM_001040429	27253		NM_014459	ENSG00000118946	PCDH17	PCDH68|PCH68	protocadherin 17	protein-coding
SHISA3-2	chr4	42467449	42468330	+	0	NA	intron (NM_001105529, intron 24 of 35)	L1PB1|LINE|L1	70401	NM_001080505	152573		NM_001080505	ENSG00000178343	SHISA3	hShisa3	shisa family member 3	protein-coding
MIR4762	chr22	45772714	45773114	+	0	NA	intron (NM_013236, intron 9 of 11)	MER2|DNA|TcMar-Tigger	12390	NR_039919	100616253		NR_039919	ENSG00000264160	MIR4762	-	microRNA 4762	ncRNA
DICER1-2	chr14	95133045	95133679	+	0	NA	exon (NM_001195573, exon 1 of 25)	exon (NM_001195573, exon 1 of 25)	141	NM_001195573	23405		NM_030621	ENSG00000100697	DICER1	DCR1|Dicer|Dicer1e|GLOW|HERNA|K12H4.8-LIKE|MNG1|RMSE2|aviD	dicer 1, ribonuclease III	protein-coding
SLIT2	chr4	19319574	19320192	+	0	NA	Intergenic	MER34B|LTR|ERV1	-932022	NM_001289136	9353		NM_004787	ENSG00000145147	SLIT2	SLIL3|Slit-2	slit guidance ligand 2	protein-coding
TUFT1	chr1	151542633	151543161	+	0	NA	intron (NM_001126337, intron 1 of 11)	intron (NM_001126337, intron 1 of 11)	2588	NM_001126337	7286		NM_020127	ENSG00000143367	TUFT1	WHSF	tuftelin 1	protein-coding
ARL4A-2	chr7	13050098	13050506	+	0	NA	Intergenic	Intergenic	362669	NM_005738	10124		NM_005738	ENSG00000122644	ARL4A	ARL4	ADP ribosylation factor like GTPase 4A	protein-coding
RPL13AP17-2	chr7	78389210	78389507	+	0	NA	intron (NM_012301, intron 6 of 21)	intron (NM_012301, intron 6 of 21)	42116	NR_003680	399670		NR_003680	ENSG00000293158	RPL13AP17	RPL13A_6_816	ribosomal protein L13a pseudogene 17	pseudo
ARHGAP22	chr10	48483418	48484097	+	0	NA	intron (NR_144642, intron 3 of 9)	L1MA4A|LINE|L1	9893	NM_001256026	58504		NM_021226	ENSG00000128805	ARHGAP22	RhoGAP2|RhoGap22	Rho GTPase activating protein 22	protein-coding
GPHN	chr14	66606867	66607598	+	0	NA	intron (NM_020806, intron 1 of 22)	L1PA16|LINE|L1	99085	NM_001377518	10243		NM_020806	ENSG00000171723	GPHN	GEPH|GPH|GPHRYN|HKPX1|MOCODC	gephyrin	protein-coding
TG	chr8	132950299	132951002	+	0	NA	intron (NM_003235, intron 27 of 47)	MIR|SINE|MIR	83692	NM_003235	7038		NM_003235	ENSG00000042832	TG	AITD3|TGN	thyroglobulin	protein-coding
CMC2	chr16	80978442	80979072	+	0	NA	intron (NR_147843, intron 1 of 1)	intron (NR_147843, intron 1 of 1)	18919	NM_001351973	56942		NM_020188	ENSG00000103121	CMC2	2310061C15Rik|C16orf61|DC13	C-X9-C motif containing 2	protein-coding
ADAMTS6	chr5	65440386	65440805	+	0	NA	intron (NM_197941, intron 7 of 24)	L1MEc|LINE|L1	41325	NR_135689	11174		NM_014273	ENSG00000049192	ADAMTS6	ADAM-TS 6|ADAM-TS6|ADAMTS-6	ADAM metallopeptidase with thrombospondin type 1 motif 6	protein-coding
LOC105375075	chr6	44712525	44712958	+	0	NA	Intergenic	Intergenic	-160860	NR_134609	105375075		NR_134609		LOC105375075	-	uncharacterized LOC105375075	ncRNA
LRRC72	chr7	16550678	16551117	+	0	NA	intron (NM_001195280, intron 3 of 8)	HAL1|LINE|L1	24072	NM_001195280	100506049		NM_001195280	ENSG00000205858	LRRC72	CFAP279|FAP279	leucine rich repeat containing 72	protein-coding
LOC105374428	chr4	42293907	42295015	+	0	NA	Intergenic	LTR81A|LTR|Gypsy	96807	NR_134668	105374428		NR_134668	ENSG00000250781	LOC105374428	-	uncharacterized LOC105374428	ncRNA
PELI2	chr14	56057324	56057736	+	0	NA	Intergenic	Intergenic	-60881	NM_021255	57161		NM_021255	ENSG00000139946	PELI2	-	pellino E3 ubiquitin protein ligase family member 2	protein-coding
SEMA3D	chr7	85261155	85262084	+	0	NA	Intergenic	Intergenic	-11376	NM_001384901	223117		NM_152754	ENSG00000153993	SEMA3D	Sema-Z2|coll-2	semaphorin 3D	protein-coding
PDZRN4-2	chr12	41567090	41567868	+	0	NA	intron (NM_001164595, intron 8 of 9)	intron (NM_001164595, intron 8 of 9)	129740	NM_013377	29951		NM_013377	ENSG00000165966	PDZRN4	LNX4|SAMCAP3L	PDZ domain containing ring finger 4	protein-coding
MIR8080	chr2	80019677	80020496	+	0	NA	intron (NM_001164883, intron 7 of 16)	intron (NM_001164883, intron 7 of 16)	-153503	NR_107047	102465877		NR_107047	ENSG00000276917	MIR8080	hsa-mir-8080	microRNA 8080	ncRNA
CDH12	chr5	23113385	23113825	+	0	NA	Intergenic	L2a|LINE|L2	-260261	NM_001364105	1010		NM_004061	ENSG00000154162	CDH12	CDHB	cadherin 12	protein-coding
ABHD10	chr3	111956703	111957771	+	0	NA	intron (NM_145753, intron 11 of 16)	intron (NM_145753, intron 11 of 16)	-21789	NM_018394	55347		NM_018394	ENSG00000144827	ABHD10	-	abhydrolase domain containing 10, depalmitoylase	protein-coding
SASH1	chr6	148443876	148444364	+	0	NA	intron (NM_001346505, intron 4 of 19)	intron (NM_001346505, intron 4 of 19)	-64379	NM_001346508	23328		NM_015278	ENSG00000111961	SASH1	CAPOK|DUH|DUH1|SH3D6A|dJ323M4.1	SAM and SH3 domain containing 1	protein-coding
MREG	chr2	216008280	216008835	+	0	NA	intron (NM_001372189, intron 1 of 4)	intron (NM_001372189, intron 1 of 4)	4994	NM_001372188	55686		NM_018000	ENSG00000118242	MREG	DSU|WDT2	melanoregulin	protein-coding
ADAMTSL1	chr9	18404594	18405577	+	0	NA	Intergenic	Intergenic	-69068	NM_001040272	92949		NM_052866	ENSG00000178031	ADAMTSL1	ADAMTSL-1|ADAMTSR1|C9orf94|PUNCTIN	ADAMTS like 1	protein-coding
AUTS2	chr7	69827600	69828038	+	0	NA	intron (NM_001127232, intron 1 of 4)	intron (NM_001127232, intron 1 of 4)	229344	NM_001127231	26053		NM_015570	ENSG00000158321	AUTS2	FBRSL2|MRD26	activator of transcription and developmental regulator AUTS2	protein-coding
HSP90AB4P	chr15	58666966	58667444	+	0	NA	intron (NM_001320570, intron 4 of 14)	intron (NM_001320570, intron 4 of 14)	26402	NR_073415	664618		NR_002927		HSP90AB4P	HSP90Bd	heat shock protein 90 alpha family class B member 4, pseudogene	pseudo
LINC02143	chr5	164364633	164365022	+	0	NA	Intergenic	Intergenic	102575	NR_105064	101927835		NR_105064		LINC02143	-	long intergenic non-protein coding RNA 2143	ncRNA
CASC6-2	chr6	91895498	91896051	+	0	NA	Intergenic	Intergenic	-205346	NR_104154	101929083		NR_104154		CASC6	-	cancer susceptibility 6	ncRNA
POU3F4	chrX	82912253	82912722	+	0	NA	Intergenic	L1M3c|LINE|L1	-595803	NM_000307	5456		NM_000307	ENSG00000196767	POU3F4	BRAIN-4|BRN-4|BRN4|DFN3|DFNX2|OCT-9|OTF-9|OTF9	POU class 3 homeobox 4	protein-coding
LNCSRLR-3	chr3	145657074	145657495	+	0	NA	Intergenic	L1M1|LINE|L1	411901	NR_146297	109729161		NR_146297	ENSG00000240032	LNCSRLR	lncRNA-SRLR	lncRNA sorafenib resistance in renal cell carcinoma associated	ncRNA
NAA11	chr4	79174103	79175122	+	0	NA	intron (NR_038342, intron 3 of 5)	intron (NR_038342, intron 3 of 5)	151449	NM_032693	84779		NM_032693	ENSG00000156269	NAA11	ARD1B|ARD2|hARD2	N-alpha-acetyltransferase 11, NatA catalytic subunit	protein-coding
SPIDR-2	chr8	47425171	47425479	+	0	NA	intron (NM_001352948, intron 6 of 18)	L2b|LINE|L2	164387	NM_001080394	23514		NM_001080394	ENSG00000164808	SPIDR	KIAA0146|ODG9	scaffold protein involved in DNA repair	protein-coding
ALG14	chr1	95067134	95067443	+	0	NA	non-coding (NR_132786, exon 2 of 2)	non-coding (NR_132786, exon 2 of 2)	5663	NM_001305242	199857		NM_144988	ENSG00000172339	ALG14	CMS15|IDDEBF|MEPCA	ALG14 UDP-N-acetylglucosaminyltransferase subunit	protein-coding
LINC02214	chr5	116784689	116785548	+	0	NA	Intergenic	Intergenic	-22909	NR_104678	102467223		NR_104678		LINC02214	-	long intergenic non-protein coding RNA 2214	ncRNA
TMTC2	chr12	83152474	83152944	+	0	NA	Intergenic	Intergenic	465554	NM_001320322	160335		NM_152588	ENSG00000179104	TMTC2	IBDBP1	transmembrane O-mannosyltransferase targeting cadherins 2	protein-coding
LINC00593	chr15	69910554	69911314	+	0	NA	Intergenic	Intergenic	75700	NR_026764	414926		NR_026764	ENSG00000245750	LINC00593	C15orf50	long intergenic non-protein coding RNA 593	ncRNA
STK32A	chr5	147332456	147332968	+	0	NA	intron (NM_001112724, intron 5 of 12)	intron (NM_001112724, intron 5 of 12)	97686	NM_001112724	202374		NM_145001	ENSG00000169302	STK32A	YANK1	serine/threonine kinase 32A	protein-coding
LINC02330	chr14	87399540	87399818	+	0	NA	Intergenic	LTR37-int|LTR|ERV1	255615	NR_146551	105370611		NR_146551	ENSG00000258770	LINC02330	-	long intergenic non-protein coding RNA 2330	ncRNA
LINC00473	chr6	166010282	166010742	+	0	NA	Intergenic	MLT1C|LTR|ERVL-MaLR	-22473	NR_026861	90632		NR_026860	ENSG00000112541	LINC00473	C6orf176|LNC473|bA142J11.1	long intergenic non-protein coding RNA 473	ncRNA
NTRK2-5	chr9	84936995	84937527	+	0	NA	intron (NM_006180, intron 15 of 18)	intron (NM_006180, intron 15 of 18)	231360	NM_001369552	4915		NM_006180	ENSG00000148053	NTRK2	DEE58|EIEE58|GP145-TrkB|OBHD|TRKB|trk-B	neurotrophic receptor tyrosine kinase 2	protein-coding
FREM2	chr13	38702698	38703027	+	0	NA	intron (NM_207361, intron 2 of 23)	intron (NM_207361, intron 2 of 23)	15785	NM_207361	341640		NM_207361	ENSG00000150893	FREM2	CRYPTOP|FRASRS2	FRAS1 related extracellular matrix 2	protein-coding
NR2F1-AS1-4	chr5	93377945	93378496	+	0	NA	Intergenic	Tigger6a|DNA|TcMar-Tigger	193123	NR_109825	441094		NR_015369	ENSG00000237187	NR2F1-AS1	-	NR2F1 antisense RNA 1	ncRNA
LINC02106	chr5	50929287	50929709	+	0	NA	Intergenic	Intergenic	40689	NR_104653	100287592		NR_104653	ENSG00000251573	LINC02106	-	long intergenic non-protein coding RNA 2106	ncRNA
LOC105376360	chr10	3393721	3394100	+	0	NA	intron (NR_131187, intron 1 of 1)	L1MA8|LINE|L1	75215	NR_131187	105376360		NR_131187		LOC105376360	-	uncharacterized LOC105376360	ncRNA
CTLA4	chr2	203887571	203888075	+	0	NA	Intergenic	Intergenic	20052	NM_005214	1493		NM_005214	ENSG00000163599	CTLA4	ALPS5|CD|CD152|CELIAC3|CTLA-4|GRD4|GSE|IDDM12	cytotoxic T-lymphocyte associated protein 4	protein-coding
FAM133CP	chr10	58831662	58831862	+	0	NA	TTS (NM_001080512)	TTS (NM_001080512)	116747	NR_027508	728640		NR_027508		FAM133CP	-	family with sequence similarity 133, member A pseudogene	pseudo
PLPP3	chr1	56510603	56511489	+	0	NA	intron (NM_003713, intron 5 of 5)	intron (NM_003713, intron 5 of 5)	68517	NM_003713	8613		NM_003713	ENSG00000162407	PLPP3	Dri42|LPP3|PAP2B|PPAP2B|VCIP	phospholipid phosphatase 3	protein-coding
MIR29B1	chr7	130877103	130877812	+	0	NA	promoter-TSS (NR_029503)	promoter-TSS (NR_029503)	82	NR_029517	407024		NR_029517	ENSG00000283797	MIR29B1	MIRN29B1|miR-29b|miRNA29B1|mir-29b-1	microRNA 29b-1	ncRNA
LINC02472	chr4	29853766	29854478	+	0	NA	Intergenic	Intergenic	639830	NR_146996	105374561		NR_146996	ENSG00000248338	LINC02472	-	long intergenic non-protein coding RNA 2472	ncRNA
ADGRL3-2	chr4	61665851	61666531	+	0	NA	intron (NM_001322246, intron 4 of 25)	intron (NM_001322246, intron 4 of 25)	464019	NM_001371342	23284		NM_015236	ENSG00000150471	ADGRL3	CIRL3|CL3|LEC3|LPHN3	adhesion G protein-coupled receptor L3	protein-coding
INPP4B	chr4	142194703	142195699	+	0	NA	intron (NR_169623, intron 9 of 20)	L1MA10|LINE|L1	110631	NM_001385460	8821		NM_003866	ENSG00000109452	INPP4B	-	inositol polyphosphate-4-phosphatase type II B	protein-coding
MGC12916	chr17	14559478	14559963	+	0	NA	Intergenic	Intergenic	255980	NR_026880	84815		NM_032729	ENSG00000266709	MGC12916	-	uncharacterized protein MGC12916	ncRNA
LINC02217	chr5	17418027	17418710	+	0	NA	intron (NR_134274, intron 1 of 1)	intron (NR_134274, intron 1 of 1)	14222	NR_134274	101929544		NR_134273	ENSG00000248455	LINC02217	-	long intergenic non-protein coding RNA 2217	ncRNA
PLXNA4	chr7	132544989	132545863	+	0	NA	intron (NM_181775, intron 2 of 4)	L2a|LINE|L2	31044	NM_001105543	91584		NM_020911	ENSG00000221866	PLXNA4	FAYV2820|PLEXA4|PLXNA4A|PLXNA4B|PRO34003	plexin A4	protein-coding
NBPF15	chr1	144493984	144494563	+	0	NA	Intergenic	Intergenic	-32604	NM_001385378	284565		NM_173638	ENSG00000266338	NBPF15	AB14|AG3|NBPF16	NBPF member 15	protein-coding
LINC00499	chr4	138398331	138398957	+	0	NA	intron (NR_051987, intron 2 of 2)	intron (NR_051987, intron 2 of 2)	88933	NR_051987	100874047		NR_051987	ENSG00000251372	LINC00499	LINC00500	long intergenic non-protein coding RNA 499	ncRNA
NREP-2	chr5	112050936	112051611	+	0	NA	Intergenic	L1PA14|LINE|L1	-74341	NM_001142475	9315		NM_004772	ENSG00000134986	NREP	C5orf13|D4S114|P311|PRO1873|PTZ17|SEZ17	neuronal regeneration related protein	protein-coding
MIR4303	chr12	98090786	98091350	+	0	NA	Intergenic	HSMAR2|DNA|TcMar-Mariner	-95620	NR_036189	100422924		NR_036189	ENSG00000263890	MIR4303	-	microRNA 4303	ncRNA
LOC101927284	chr13	94829229	94830430	+	0	NA	intron (NR_110754, intron 2 of 4)	intron (NR_110754, intron 2 of 4)	68888	NR_110754	101927284		NR_110754		LOC101927284	-	uncharacterized LOC101927284	ncRNA
TANK	chr2	161190131	161190599	+	0	NA	intron (NM_133484, intron 2 of 3)	L1MB3|LINE|L1	29937	NM_001199135	10010		NM_004180	ENSG00000136560	TANK	I-TRAF|ITRAF|TRAF2	TRAF family member associated NFKB activator	protein-coding
CXCR4	chr2	136436937	136437214	+	0	NA	Intergenic	LTR78|LTR|ERV1	-318926	NM_001348059	7852		NM_003467	ENSG00000121966	CXCR4	CD184|D2S201E|FB22|HM89|HSY3RR|LAP-3|LAP3|LCR1|LESTR|NPY3R|NPYR|NPYRL|NPYY3R|WHIM|WHIMS|WHIMS1	C-X-C motif chemokine receptor 4	protein-coding
LGR4-AS1	chr11	27443711	27444309	+	0	NA	intron (NM_018490, intron 1 of 17)	intron (NM_018490, intron 1 of 17)	-27721	NR_131169	105376671		NR_131169	ENSG00000254862	LGR4-AS1	lnc-BBOX1-1	LGR4 antisense RNA 1	ncRNA
LINC01256	chr4	132651267	132651670	+	0	NA	intron (NR_126401, intron 2 of 3)	intron (NR_126401, intron 2 of 3)	60379	NR_126401	104355285		NR_126401	ENSG00000251398	LINC01256	TCONS_l2_00021715	long intergenic non-protein coding RNA 1256	ncRNA
ZNF608	chr5	124659778	124660480	+	0	NA	intron (NM_001385621, intron 2 of 8)	intron (NM_001385621, intron 2 of 8)	86510	NM_020747	57507		NM_020747	ENSG00000168916	ZNF608	NY-REN-36	zinc finger protein 608	protein-coding
TMEFF2	chr2	192026065	192026948	+	0	NA	intron (NM_001305134, intron 5 of 9)	intron (NM_001305134, intron 5 of 9)	168427	NM_001305134	23671		NM_016192	ENSG00000144339	TMEFF2	CT120.2|HPP1|TENB2|TPEF|TR|TR-2	transmembrane protein with EGF like and two follistatin like domains 2	protein-coding
LINC01031-3	chr1	194298016	194298480	+	0	NA	Intergenic	Intergenic	993503	NR_125789	101929184		NR_125789	ENSG00000232077	LINC01031	TCONS_00000361	long intergenic non-protein coding RNA 1031	ncRNA
SNORD170	chr5	14413182	14413525	+	0	NA	intron (NR_134469, intron 33 of 56)	intron (NR_134469, intron 33 of 56)	-50630	NR_145815	109623458		NR_145815		SNORD170	-	small nucleolar RNA, C/D box 170	snoRNA
MIR617	chr12	80847037	80847407	+	0	NA	intron (NM_001324423, intron 2 of 4)	intron (NM_001324423, intron 2 of 4)	-14593	NR_030348	693202		NR_030348	ENSG00000207763	MIR617	MIRN617|hsa-mir-617	microRNA 617	ncRNA
LDLRAD4	chr18	13351927	13352458	+	0	NA	intron (NM_001378098, intron 1 of 5)	L1PA8|LINE|L1	13589	NM_001378098	753		NM_004338	ENSG00000168675	LDLRAD4	C18orf1	low density lipoprotein receptor class A domain containing 4	protein-coding
HBP1	chr7	107224523	107225030	+	0	NA	intron (NM_001379514, intron 17 of 19)	intron (NM_001379514, intron 17 of 19)	55773	NM_012257	26959		NM_012257	ENSG00000105856	HBP1	-	HMG-box transcription factor 1	protein-coding
RPL22L1	chr3	170792269	170792883	+	0	NA	Intergenic	LTR37B|LTR|ERV1	77619	NR_135259	200916		NM_001099645	ENSG00000163584	RPL22L1	-	ribosomal protein L22 like 1	protein-coding
GJA1	chr6	121732741	121733645	+	0	NA	Intergenic	Intergenic	297547	NM_000165	2697		NM_000165	ENSG00000152661	GJA1	AVSD3|CMDR|CX43|EKVP|EKVP3|GJAL|HLHS1|HSS|ODDD|PPKCA	gap junction protein alpha 1	protein-coding
ATP6V0A4-2	chr7	138848160	138848927	+	0	NA	intron (NM_001164665, intron 17 of 19)	L1MEg|LINE|L1	-50347	NM_020632	50617		NM_020632	ENSG00000105929	ATP6V0A4	A4|ATP6N1B|ATP6N2|DRTA3|RDRTA2|RTA1C|RTADR|STV1|VPH1|VPP2	ATPase H+ transporting V0 subunit a4	protein-coding
ADAM12	chr10	126215520	126216605	+	0	NA	intron (NM_021641, intron 3 of 18)	intron (NM_021641, intron 3 of 18)	172415	NM_001288974	8038		NM_003474	ENSG00000148848	ADAM12	ADAM12-OT1|CAR10|MCMP|MCMPMltna|MLTN|MLTNA	ADAM metallopeptidase domain 12	protein-coding
NPY2R	chr4	155114799	155115458	+	0	NA	Intergenic	MER4C|LTR|ERV1	-58595	NM_001375470	4887		NM_000910	ENSG00000185149	NPY2R	NPY2-R	neuropeptide Y receptor Y2	protein-coding
