PeakID (cmd=annotatePeaks.pl results/tmp hg38 -annStats results/merged.p-3.anno.stats -go results/results/merged.p-3.go)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
C16_Up_LUT_NA-461	chr4	158161511	158162040	+	0	NA	intron (NM_016613, intron 2 of 4)	intron (NM_016613, intron 2 of 4)	-8977	NR_147408	285505		NR_147407	ENSG00000248429	GASK1B-AS1	FAM198B-AS1	GASK1B antisense RNA 1	ncRNA
C16_Up_LUT_NA-426	chr3	59245528	59246602	+	0	NA	Intergenic	LTR90A|LTR|LTR	-196033	NM_001351534	200844		NM_198463	ENSG00000163689	CFAP20DC	C3orf67	CFAP20 domain containing	protein-coding
C16_Up_LUT_NA-113	chr11	93494509	93494775	+	0	NA	intron (NM_020179, intron 2 of 2)	intron (NM_020179, intron 2 of 2)	48749	NM_020179	56935		NM_020179	ENSG00000166002	SMCO4	C11orf75|FN5	single-pass membrane protein with coiled-coil domains 4	protein-coding
C16_NA_LUT_Up-1557	chr9	125877957	125878823	+	0	NA	intron (NR_024122, intron 2 of 7)	intron (NR_024122, intron 2 of 7)	130207	NM_001134778	5090		NM_006195	ENSG00000167081	PBX3	-	PBX homeobox 3	protein-coding
C16_NA_LUT_Up-1093	chr5	130036369	130037256	+	0	NA	intron (NM_175856, intron 2 of 2)	(TG)n|Simple_repeat|Simple_repeat	132347	NM_175856	337876		NM_175856	ENSG00000198108	CHSY3	CHSY2|CSS3	chondroitin sulfate synthase 3	protein-coding
C16_Up_LUT_NA-543	chr5	174121860	174122102	+	0	NA	Intergenic	L1ME2z|LINE|L1	76275	NM_015980	51617		NM_015980	ENSG00000170091	NSG2	CALY3|HMP19	neuronal vesicle trafficking associated 2	protein-coding
C16_NA_LUT_Up-1052	chr4	93801884	93802610	+	0	NA	Intergenic	Intergenic	-26506	NM_005172	474		NM_005172	ENSG00000172238	ATOH1	ATH1|DFNA89|HATH1|MATH-1|bHLHa14	atonal bHLH transcription factor 1	protein-coding
C16_NA_LUT_Up-659	chr2	40165787	40166509	+	0	NA	intron (NM_001351490, intron 4 of 7)	intron (NM_001351490, intron 4 of 7)	248514	NR_038441	100128590		NR_038441	ENSG00000227028	SLC8A1-AS1	-	SLC8A1 antisense RNA 1	ncRNA
C16_NA_LUT_Up-313	chr13	46295645	46297151	+	0	NA	TTS (NR_047493)	TTS (NR_047493)	1446	NR_047493	100861554		NR_047493	ENSG00000261097	LINC00563	-	long intergenic non-protein coding RNA 563	ncRNA
C16_NA_LUT_Up-767	chr3	120159894	120160607	+	0	NA	Intergenic	Intergenic	-65803	NM_002093	2932		NM_002093	ENSG00000082701	GSK3B	-	glycogen synthase kinase 3 beta	protein-coding
C16_Up_LUT_NA-495	chr4	78319779	78320663	+	0	NA	intron (NM_025074, intron 18 of 73)	intron (NM_025074, intron 18 of 73)	31236	NR_145782	109623453		NR_145782		SNORD161	-	small nucleolar RNA, C/D box 161	snoRNA
C16_NA_LUT_Up-1550	chr9	110650870	110651599	+	0	NA	Intergenic	Intergenic	-17557	NM_001166280	4593		NM_005592	ENSG00000030304	MUSK	CMS9|FADS|FADS1	muscle associated receptor tyrosine kinase	protein-coding
C16_NA_LUT_Up-586	chr2	142236383	142236633	+	0	NA	Intergenic	Intergenic	-105492	NM_018557	53353		NM_018557	ENSG00000168702	LRP1B	LRP-1B|LRP-DIT|LRPDIT	LDL receptor related protein 1B	protein-coding
C16_NA_LUT_Up-387	chr14	58563789	58564398	+	0	NA	Intergenic	Intergenic	-69968	NR_046093	51339		NM_016651	ENSG00000165617	DACT1	DAPPER|DAPPER1|DPR1|FRODO|HDPR1|TBS2|THYEX3	dishevelled binding antagonist of beta catenin 1	protein-coding
C16_NA_LUT_Up-611	chr2	175188693	175189025	+	0	NA	Intergenic	L1MA2|LINE|L1	-7149	NM_001002258	518		NM_001689	ENSG00000154518	ATP5MC3	ATP5G3|DYTSPG|P3	ATP synthase membrane subunit c locus 3	protein-coding
C16_Up_LUT_NA-244	chr18	40552855	40553336	+	0	NA	Intergenic	Intergenic	486809	NR_110791	101927900		NR_110791	ENSG00000261715	LINC01477	-	long intergenic non-protein coding RNA 1477	ncRNA
C16_NA_LUT_Up-715	chr20	58321840	58322341	+	0	NA	intron (NM_020673, intron 2 of 6)	AluJb|SINE|Alu	12375	NM_020673	57403		NM_020673	ENSG00000124209	RAB22A	-	RAB22A, member RAS oncogene family	protein-coding
C16_Up_LUT_Up-353	chr7	144565753	144565948	+	0	NA	intron (NR_146934, intron 5 of 6)	intron (NR_146934, intron 5 of 6)	-155623	NM_001080413	135935		NM_001080413	ENSG00000106410	NOBOX	OG-2|OG2|OG2X|POF5|TCAG_12042	NOBOX oogenesis homeobox	protein-coding
C16_Up_LUT_NA-187	chr14	49408389	49409261	+	0	NA	Intergenic	Intergenic	177555	NM_001030001	6235		NM_001032	ENSG00000213741	RPS29	DBA13|S29|uS14	ribosomal protein S29	protein-coding
C16_NA_LUT_Up-1110	chr5	153359265	153359744	+	0	NA	Intergenic	Intergenic	-131020	NR_047578	2890		NM_000827	ENSG00000155511	GRIA1	GLUH1|GLUR1|GLURA|GluA1|HBGR1|MRD67|MRT76	glutamate ionotropic receptor AMPA type subunit 1	protein-coding
C16_NA_LUT_Up-1347	chr7	111292020	111292588	+	0	NA	intron (NM_032549, intron 3 of 5)	Plat_L3|LINE|CR1	201177	NM_001099658	54674		NM_018334	ENSG00000173114	LRRN3	FIGLER5|NLRR-3|NLRR3	leucine rich repeat neuronal 3	protein-coding
C16_NA_LUT_Up-242	chr12	39662655	39662974	+	0	NA	intron (NR_135051, intron 6 of 18)	L1MA4A|LINE|L1	36631	NR_135051	283461		NM_001031748	ENSG00000180116	REDIC1	C12orf40|HEIP1|HEL-206|HEL-S-94	regulator of DNA class I crossover intermediates 1	protein-coding
C16_NA_LUT_Up-67	chr1	237241633	237242142	+	0	NA	intron (NM_001035, intron 1 of 104)	MER41B|LTR|ERV1	199703	NM_001035	6262		NM_001035	ENSG00000198626	RYR2	ARVC2|ARVD2|RYR-2|RyR|VACRDS|VTSIP	ryanodine receptor 2	protein-coding
C16_NA_LUT_Up-1597	chr9	84867401	84868080	+	0	NA	intron (NM_006180, intron 14 of 18)	intron (NM_006180, intron 14 of 18)	161839	NM_001369552	4915		NM_006180	ENSG00000148053	NTRK2	DEE58|EIEE58|GP145-TrkB|OBHD|TRKB|trk-B	neurotrophic receptor tyrosine kinase 2	protein-coding
C16_NA_LUT_Up-1041	chr4	83870564	83870787	+	0	NA	Intergenic	LTR33|LTR|ERVL	334567	NM_032717	84803		NM_032717	ENSG00000138678	GPAT3	AGPAT 10|AGPAT10|AGPAT8|AGPAT9|HMFN0839|LPAAT-theta|MAG1	glycerol-3-phosphate acyltransferase 3	protein-coding
C16_NA_LUT_Up-1092	chr5	130011461	130012568	+	0	NA	intron (NM_175856, intron 2 of 2)	L1PA15|LINE|L1	107549	NM_175856	337876		NM_175856	ENSG00000198108	CHSY3	CHSY2|CSS3	chondroitin sulfate synthase 3	protein-coding
C16_NA_LUT_Up-655	chr2	33860026	33860270	+	0	NA	intron (NR_126403, intron 2 of 5)	intron (NR_126403, intron 2 of 5)	-131931	NR_003143	151325		NM_207329	ENSG00000293267	MYADML	-	myeloid associated differentiation marker like (pseudogene)	pseudo
C16_NA_LUT_Up-751	chr3	107285023	107285798	+	0	NA	intron (NR_028302, intron 1 of 3)	MIR|SINE|MIR	44718	NR_028302	344595		NR_028301	ENSG00000243701	DUBR	DUM|LINC00883|LINC0883	DPPA2 upstream binding RNA	ncRNA
C16_NA_LUT_Up-240	chr12	37722598	37723345	+	0	NA	Intergenic	ALR/Alpha|Satellite|centr	-593803	NM_001308340	144245		NM_001013620	ENSG00000175548	ALG10B	ALG10|KCR1	ALG10 alpha-1,2-glucosyltransferase B	protein-coding
C16_NA_LUT_Up-1053	chr4	95027517	95028524	+	0	NA	intron (NM_001256792, intron 1 of 10)	intron (NM_001256792, intron 1 of 10)	-23657	NM_001256793	658		NM_001203	ENSG00000138696	BMPR1B	ALK-6|ALK6|AMD3|AMDD|BDA1D|BDA2|CDw293	bone morphogenetic protein receptor type 1B	protein-coding
C16_Up_LUT_NA-210	chr16	19505640	19506157	+	0	NA	intron (NM_001324067, intron 3 of 4)	L1MC5|LINE|L1	16200	NR_136689	51573		NM_016641	ENSG00000006007	GDE1	363E6.2|MIR16	glycerophosphodiester phosphodiesterase 1	protein-coding
C16_NA_LUT_Up-1250	chr6	136036719	136037444	+	0	NA	intron (NM_018945, intron 2 of 12)	intron (NM_018945, intron 2 of 12)	35746	NR_149042	644135		NR_149042	ENSG00000237596	PDE7B-AS1	-	PDE7B antisense RNA 1	ncRNA
C16_NA_LUT_Up-1139	chr5	177018451	177018799	+	0	NA	Intergenic	Intergenic	-4055	NM_001363713	23567		NM_012279	ENSG00000113761	ZNF346	JAZ|Zfp346	zinc finger protein 346	protein-coding
C16_Up_LUT_NA-212	chr16	48734279	48734634	+	0	NA	Intergenic	Intergenic	-124276	NM_153029	9683		NM_014664	ENSG00000102921	N4BP1	-	NEDD4 binding protein 1	protein-coding
C16_NA_LUT_Up-1055	chr5	100739838	100740362	+	0	NA	Intergenic	L1MC2|LINE|L1	76465	NR_031686	100302288		NR_031686	ENSG00000221263	MIR548P	MIRN548P|hsa-mir-548p	microRNA 548p	ncRNA
C16_Up_LUT_Up-323	chr5	9194503	9194873	+	0	NA	intron (NM_003966, intron 10 of 22)	intron (NM_003966, intron 10 of 22)	-140793	NR_039779	100616326		NR_039779	ENSG00000266415	MIR4636	mir-4636	microRNA 4636	ncRNA
C16_Up_LUT_Up-235	chr4	126427629	126428311	+	0	NA	Intergenic	Intergenic	920711	NR_031746	100302267		NR_031746	ENSG00000283550	MIR2054	hsa-mir-2054	microRNA 2054	ncRNA
C16_Up_LUT_NA-63	chr10	44706680	44707048	+	0	NA	Intergenic	Intergenic	-204452	NM_001345926	643236		NM_001123376	ENSG00000187783	TMEM72	C10orf127|KSP37	transmembrane protein 72	protein-coding
C16_Up_LUT_NA-186	chr14	42192795	42193546	+	0	NA	Intergenic	LTR16C|LTR|ERVL	586314	NM_001346175	145581		NM_152447	ENSG00000165379	LRFN5	C14orf146|FIGLER8|SALM5	leucine rich repeat and fibronectin type III domain containing 5	protein-coding
C16_NA_LUT_Up-587	chr2	142762846	142763381	+	0	NA	Intergenic	L1MA4A|LINE|L1	-114551	NM_001032998	8942		NM_003937	ENSG00000115919	KYNU	KYNUU|VCRL2	kynureninase	protein-coding
C16_NA_LUT_Up-1389	chr7	22007562	22008633	+	0	NA	Intergenic	Intergenic	-62198	NM_001127371	55536		NM_018719	ENSG00000164649	CDCA7L	JPO2|R1|RAM2	cell division cycle associated 7 like	protein-coding
C16_NA_LUT_Up-386	chr14	58561911	58562294	+	0	NA	Intergenic	Intergenic	-71959	NR_046093	51339		NM_016651	ENSG00000165617	DACT1	DAPPER|DAPPER1|DPR1|FRODO|HDPR1|TBS2|THYEX3	dishevelled binding antagonist of beta catenin 1	protein-coding
C16_Up_LUT_NA-641	chr7	49817049	49817509	+	0	NA	intron (NR_136188, intron 2 of 3)	intron (NR_136188, intron 2 of 3)	41946	NR_136188	375567		NM_198570	ENSG00000188730	VWC2	PSST739|UNQ739	von Willebrand factor C domain containing 2	protein-coding
C16_Up_LUT_NA-745	chr9	61573710	61574032	+	0	NA	Intergenic	LTR25|LTR|ERV1	-280213	NR_027421	100132948		NM_001024942	ENSG00000231527	FAM27C	FAM27A|FAM27A1|FAM27A3|bA7G23.5	family with sequence similarity 27 member C	ncRNA
C16_NA_LUT_Up-214	chr12	106791462	106791864	+	0	NA	intron (NR_147131, intron 2 of 12)	intron (NR_147131, intron 2 of 12)	-16832	NR_040246	100287944		NR_040246	ENSG00000257545	LOC100287944	-	uncharacterized LOC100287944	ncRNA
C16_Up_LUT_Up-408	chr9	3001107	3001518	+	0	NA	Intergenic	L2c|LINE|L2	-157217	NM_014878	9933		NM_014878	ENSG00000080608	PUM3	HA-8|HLA-HA8|KIAA0020|PEN|PUF-A|PUF6|XTP5	pumilio RNA binding family member 3	protein-coding
C16_NA_LUT_Up-864	chr3	73164161	73165279	+	0	NA	Intergenic	Intergenic	103061	NM_018029	55096		NM_018029	ENSG00000255423	EBLN2	EBLN-2	endogenous Bornavirus like nucleoprotein 2	protein-coding
C16_NA_LUT_Up-1297	chr6	31214423	31214612	+	0	NA	Intergenic	Intergenic	16757	NR_026791	253018		NR_026791	ENSG00000206344	HCG27	bCX101P6.9|bPG299F13.9|bQB115I13.2	HLA complex group 27	ncRNA
C16_NA_LUT_Up-1644	chrX	24097880	24098335	+	0	NA	Intergenic	L1MB5|LINE|L1	43151	NM_001415	1968		NM_001415	ENSG00000130741	EIF2S3	EIF2|EIF2G|EIF2gamma|MEHMO|MRXSBRK|eIF-2gA|eIF2gX	eukaryotic translation initiation factor 2 subunit gamma	protein-coding
C16_NA_LUT_Up-625	chr2	197121207	197122129	+	0	NA	intron (NM_153697, intron 7 of 9)	intron (NM_153697, intron 7 of 9)	-76323	NR_135584	101927596		NR_135584	ENSG00000231621	ANKRD44-AS1	-	ANKRD44 antisense RNA 1	ncRNA
C16_NA_LUT_Up-721	chr21	24395432	24396034	+	0	NA	Intergenic	Intergenic	-33007	NR_135520	105372751		NR_135519	ENSG00000237484	LINC01684	lnc-JAM2-6	long intergenic non-protein coding RNA 1684	ncRNA
C16_NA_LUT_Up-766	chr3	118987375	118987927	+	0	NA	intron (NM_001353318, intron 1 of 7)	intron (NM_001353318, intron 1 of 7)	44575	NR_046230	100506765		NR_046230	ENSG00000239877	IGSF11-AS1	-	IGSF11 antisense RNA 1	ncRNA
C16_Up_LUT_NA-96	chr11	19668575	19668823	+	0	NA	intron (NM_001111018, intron 2 of 38)	intron (NM_001111018, intron 2 of 38)	-44138	NM_001244963	89797		NM_145117	ENSG00000166833	NAV2	HELAD1|POMFIL2|RAINB1|STEERIN2|UNC53H2	neuron navigator 2	protein-coding
C16_NA_LUT_Up-643	chr2	221449258	221450068	+	0	NA	intron (NM_004438, intron 8 of 17)	intron (NM_004438, intron 8 of 17)	122641	NM_001304537	2043		NM_004438	ENSG00000116106	EPHA4	EK8|HEK8|SEK|TYRO1	EPH receptor A4	protein-coding
C16_NA_LUT_Up-1642	chrX	21935643	21936007	+	0	NA	Intergenic	L1MB5|LINE|L1	-4748	NM_001258423	6611		NM_004595	ENSG00000102172	SMS	MRSR|MRXSSR|SPMSY|SRS|SpS	spermine synthase	protein-coding
C16_Up_LUT_NA-559	chr5	36502618	36503229	+	0	NA	Intergenic	Intergenic	-103432	NM_001289940	6507		NM_004172	ENSG00000079215	SLC1A3	EA6|EAAT1|GLAST|GLAST1	solute carrier family 1 member 3	protein-coding
C16_Up_LUT_NA-597	chr6	149166499	149167035	+	0	NA	Intergenic	Intergenic	-51157	NR_125861	23118		NM_015093	ENSG00000055208	TAB2	CHTD2|MAP3K7IP2|TAB-2	TGF-beta activated kinase 1 (MAP3K7) binding protein 2	protein-coding
C16_NA_LUT_Up-374	chr14	47660101	47660644	+	0	NA	intron (NM_001113498, intron 1 of 16)	intron (NM_001113498, intron 1 of 16)	14582	NM_001113498	161357		NM_182830	ENSG00000139915	MDGA2	MAMDC1|c14_5286	MAM domain containing glycosylphosphatidylinositol anchor 2	protein-coding
C16_Up_LUT_NA-396	chr3	154057441	154058189	+	0	NA	intron (NR_037901, intron 2 of 3)	intron (NR_037901, intron 2 of 3)	-63188	NM_001251962	26084		NM_015595	ENSG00000114790	ARHGEF26	CSGEF|HMFN1864|SGEF	Rho guanine nucleotide exchange factor 26	protein-coding
C16_Up_LUT_NA-174	chr13	76512705	76513111	+	0	NA	Intergenic	Intergenic	373497	NM_138444	115207		NM_138444	ENSG00000178695	KCTD12	C13orf2|PFET1|PFETIN	potassium channel tetramerization domain containing 12	protein-coding
C16_NA_LUT_Up-196	chr11	87292743	87293097	+	0	NA	intron (NM_022918, intron 6 of 14)	intron (NM_022918, intron 6 of 14)	254986	NM_001168724	65084		NM_022918	ENSG00000166575	TMEM135	PMP52	transmembrane protein 135	protein-coding
C16_Up_LUT_NA-534	chr5	143033946	143034218	+	0	NA	intron (NR_146198, intron 12 of 22)	L1MB7|LINE|L1	-158418	NR_046816	100874372		NR_046816	ENSG00000230789	ARHGAP26-IT1	-	ARHGAP26 intronic transcript 1	ncRNA
C16_Up_LUT_NA-723	chr9	108093653	108094499	+	0	NA	Intergenic	Intergenic	-604307	NM_001314052	9314		NM_004235	ENSG00000136826	KLF4	EZF|GKLF	KLF transcription factor 4	protein-coding
C16_NA_LUT_Up-172	chr11	16081858	16082557	+	0	NA	intron (NM_001145811, intron 8 of 14)	intron (NM_001145811, intron 8 of 14)	-112586	NR_106721	102464826		NR_106721	ENSG00000284094	MIR6073	hsa-mir-6073	microRNA 6073	ncRNA
C16_NA_LUT_Up-532	chr18	50441486	50441953	+	0	NA	Intergenic	Intergenic	66673	NM_001039535	220134		NM_145060	ENSG00000154839	SKA1	C18orf24	spindle and kinetochore associated complex subunit 1	protein-coding
C16_Up_LUT_NA-372	chr3	101950523	101951703	+	0	NA	intron (NR_026934, intron 1 of 3)	intron (NR_026934, intron 1 of 3)	10254	NR_026934	152225		NR_026934	ENSG00000214407	RDUR	LINC02085	RIG-I dependent antiviral response regulator RNA	ncRNA
C16_Up_LUT_Up-98	chr14	59287041	59287752	+	0	NA	intron (NM_001270520, intron 2 of 24)	L1PA16|LINE|L1	23955	NM_014992	23002		NM_014992	ENSG00000100592	DAAM1	-	dishevelled associated activator of morphogenesis 1	protein-coding
C16_Up_LUT_Up-345	chr6	99187442	99187807	+	0	NA	Intergenic	Intergenic	63015	NR_039672	100616347		NR_039672	ENSG00000265226	MIR548AI	-	microRNA 548ai	ncRNA
C16_NA_LUT_Up-530	chr18	48359647	48360301	+	0	NA	intron (NM_001371290, intron 2 of 9)	intron (NM_001371290, intron 2 of 9)	15653	NM_001371291	201501		NM_001039360	ENSG00000184828	ZBTB7C	APM-1|APM1|ZBTB36|ZNF857C	zinc finger and BTB domain containing 7C	protein-coding
C16_Up_LUT_Up-121	chr17	67445479	67446218	+	0	NA	intron (NM_181671, intron 1 of 9)	intron (NM_181671, intron 1 of 9)	-25641	NR_037517	100500895		NR_037517	ENSG00000207688	MIR548AA2	-	microRNA 548aa-2	ncRNA
C16_Up_LUT_NA-329	chr2	57981287	57981775	+	0	NA	intron (NM_001288837, intron 1 of 15)	L1PA15|LINE|L1	-65111	NM_001288839	7444		NM_006296	ENSG00000028116	VRK2	-	VRK serine/threonine kinase 2	protein-coding
C16_NA_LUT_Up-170	chr11	134730968	134731920	+	0	NA	Intergenic	Intergenic	-4501	NR_147836	729305		NR_147836	ENSG00000251226	LINC02714	-	long intergenic non-protein coding RNA 2714	ncRNA
C16_Up_LUT_Up-166	chr2	6383060	6383375	+	0	NA	Intergenic	Intergenic	-7795	NR_110251	101929390		NR_110251	ENSG00000227007	LINC01247	-	long intergenic non-protein coding RNA 1247	ncRNA
C16_NA_LUT_Up-905	chr4	113064326	113064541	+	0	NA	intron (NM_001354225, intron 1 of 46)	intron (NM_001354225, intron 1 of 46)	14780	NM_001148	287		NM_001148	ENSG00000145362	ANK2	ANK-2|CFAP87|FAP87|LQT4|brank-2	ankyrin 2	protein-coding
C16_NA_LUT_Up-678	chr2	7291861	7292899	+	0	NA	Intergenic	Intergenic	-128881	NR_038432	100506274		NR_038432	ENSG00000229727	LOC100506274	-	uncharacterized LOC100506274	ncRNA
C16_NA_LUT_Up-1430	chr7	81158235	81158560	+	0	NA	Intergenic	Intergenic	-236008	NM_001350120	10512		NM_006379	ENSG00000075223	SEMA3C	SEMAE|SemE	semaphorin 3C	protein-coding
C16_NA_LUT_Up-129	chr10	3393720	3394100	+	0	NA	intron (NR_131187, intron 1 of 1)	L1MA8|LINE|L1	75215	NR_131187	105376360		NR_131187		LOC105376360	-	uncharacterized LOC105376360	ncRNA
C16_Up_LUT_NA-370	chr22	37220742	37221358	+	0	NA	Intergenic	L2|LINE|L2	-8573	NM_001051	6753		NM_001051	ENSG00000278195	SSTR3	SS-3-R|SS3-R|SS3R|SSR-28|SST3	somatostatin receptor 3	protein-coding
C16_Up_LUT_NA-130	chr12	25469650	25470011	+	0	NA	Intergenic	Intergenic	83453	NM_001256266	160492		NM_152590	ENSG00000152936	LMNTD1	IFLTD1|LMNARS1|PAS1C1	lamin tail domain containing 1	protein-coding
C16_Up_LUT_NA-570	chr5	67278569	67278821	+	0	NA	Intergenic	Intergenic	-81896	NM_005582	4064		NM_005582	ENSG00000134061	CD180	LY64|Ly78|RP105	CD180 molecule	protein-coding
C16_NA_LUT_Up-1094	chr5	130227468	130228057	+	0	NA	Intergenic	LTR16D2|LTR|ERVL	323297	NM_175856	337876		NM_175856	ENSG00000198108	CHSY3	CHSY2|CSS3	chondroitin sulfate synthase 3	protein-coding
C16_NA_LUT_Up-809	chr3	167780419	167780895	+	0	NA	intron (NM_005025, intron 1 of 8)	Kanga1|DNA|TcMar-Tc2	44934	NM_005025	5274		NM_005025	ENSG00000163536	SERPINI1	HNS-S1|HNS-S2|PI12|neuroserpin	serpin family I member 1	protein-coding
C16_Up_LUT_NA-638	chr7	36661089	36661820	+	0	NA	intron (NM_001177506, intron 3 of 21)	intron (NM_001177506, intron 3 of 21)	-61334	NR_046764	100874264		NR_046764	ENSG00000230539	AOAH-IT1	-	AOAH intronic transcript 1	ncRNA
C16_Up_LUT_Up-167	chr2	68390093	68390742	+	0	NA	intron (NM_002664, intron 6 of 8)	intron (NM_002664, intron 6 of 8)	25135	NM_002664	5341		NM_002664	ENSG00000115956	PLEK	P47|PLEK1	pleckstrin	protein-coding
C16_NA_LUT_Up-330	chr13	67117040	67117483	+	0	NA	intron (NM_203487, intron 2 of 4)	intron (NM_203487, intron 2 of 4)	113075	NM_020403	5101		NM_020403	ENSG00000184226	PCDH9	-	protocadherin 9	protein-coding
C16_Up_LUT_NA-529	chr5	129410578	129410889	+	0	NA	Intergenic	Intergenic	-13586	NR_039665	100616325		NR_039665	ENSG00000265691	MIR4460	-	microRNA 4460	ncRNA
C16_NA_LUT_Up-1419	chr7	78172121	78172907	+	0	NA	intron (NM_012301, intron 14 of 21)	intron (NM_012301, intron 14 of 21)	-174728	NR_003680	399670		NR_003680	ENSG00000293158	RPL13AP17	RPL13A_6_816	ribosomal protein L13a pseudogene 17	pseudo
C16_Up_LUT_NA-572	chr5	83026226	83027327	+	0	NA	Intergenic	Intergenic	37561	NR_003139	677765		NR_003139	ENSG00000238835	SCARNA18	SCARNA18A|U109	small Cajal body-specific RNA 18	ncRNA
C16_Up_LUT_NA-132	chr12	25675717	25676056	+	0	NA	Intergenic	L2|LINE|L2	-27308	NM_001352232	160492		NM_152590	ENSG00000152936	LMNTD1	IFLTD1|LMNARS1|PAS1C1	lamin tail domain containing 1	protein-coding
C16_NA_LUT_Up-332	chr13	70787603	70788488	+	0	NA	Intergenic	Intergenic	-227096	NR_047699	100885781		NR_047699	ENSG00000226846	LINC00348	-	long intergenic non-protein coding RNA 348	ncRNA
C16_Up_LUT_NA-753	chr9	72589930	72590413	+	0	NA	intron (NM_138691, intron 2 of 23)	intron (NM_138691, intron 2 of 23)	68563	NM_138691	117531		NM_138691	ENSG00000165091	TMC1	DFNA36|DFNB11|DFNB7	transmembrane channel like 1	protein-coding
C16_Up_LUT_Up-115	chr16	78230955	78231226	+	0	NA	intron (NM_016373, intron 5 of 8)	intron (NM_016373, intron 5 of 8)	131436	NM_016373	51741		NM_016373	ENSG00000186153	WWOX	D16S432E|DEE28|EIEE28|FOR|FRA16D|HHCMA56|PRO0128|SCAR12|SDR41C1|WOX1	WW domain containing oxidoreductase	protein-coding
C16_NA_LUT_Up-197	chr11	88346977	88347411	+	0	NA	Intergenic	MER72|LTR|ERV1	-9458	NM_001114173	1075		NM_001814	ENSG00000109861	CTSC	CPPI|DPP-I|DPP1|DPPI|HMS|JP|JPD|PALS|PDON1|PLS	cathepsin C	protein-coding
C16_Up_LUT_Up-40	chr10	93803918	93804713	+	0	NA	Intergenic	Intergenic	46379	NM_005097	9211		NM_005097	ENSG00000108231	LGI1	ADLTE|ADPAEF|ADPEAF|EPITEMPIN|EPT|ETL1|IB1099	leucine rich glioma inactivated 1	protein-coding
C16_Up_LUT_NA-334	chr2	70457039	70457864	+	0	NA	intron (NM_001308158, intron 3 of 5)	intron (NM_001308158, intron 3 of 5)	24189	NR_046798	100874273		NR_046798	ENSG00000224606	TGFA-IT1	-	TGFA intronic transcript 1	ncRNA
C16_NA_LUT_Up-574	chr2	114034497	114035144	+	0	NA	Intergenic	L1MB2|LINE|L1	-54836	NR_034130	100499194		NR_034130		LINC02992	-	long intergenic non-protein coding RNA 2992	ncRNA
C16_Up_LUT_NA-596	chr6	146905073	146906200	+	0	NA	intron (NR_034115, intron 7 of 10)	intron (NR_034115, intron 7 of 10)	-101812	NR_003954	729176		NR_003954		KATNBL1P6	-	katanin regulatory subunit B1 like 1 pseudogene 6	pseudo
C16_NA_LUT_Up-134	chr10	4103412	4104182	+	0	NA	Intergenic	Intergenic	52071	NR_120632								
C16_Up_LUT_NA-397	chr3	154496590	154497505	+	0	NA	Intergenic	Intergenic	-66857	NM_001038705	344758		NM_001038705	ENSG00000174948	GPR149	IEDA|PGR10|R35	G protein-coupled receptor 149	protein-coding
C16_Up_LUT_NA-613	chr6	84575320	84575881	+	0	NA	Intergenic	ERVL-E-int|LTR|ERVL	-100671	NR_132100	105377880		NR_132100	ENSG00000231776	LINC01611	TCONS_l2_00025430	long intergenic non-protein coding RNA 1611	ncRNA
C16_Up_LUT_NA-359	chr21	23223992	23224369	+	0	NA	Intergenic	ERVL-E-int|LTR|ERVL	144896	NR_106746	102466967		NR_106746	ENSG00000275469	MIR6130	hsa-mir-6130	microRNA 6130	ncRNA
C16_Up_LUT_Up-151	chr2	215705807	215706163	+	0	NA	intron (NR_037195, intron 5 of 9)	MLT1B|LTR|ERVL-MaLR	-12058	NR_132383	105373869		NR_132383	ENSG00000230838	LINC01614	LCAL4	long intergenic non-protein coding RNA 1614	ncRNA
C16_NA_LUT_Up-485	chr17	28128610	28129320	+	0	NA	intron (NM_016231, intron 2 of 10)	L1ME3|LINE|L1	86288	NM_016231	51701		NM_016231	ENSG00000087095	NLK	-	nemo like kinase	protein-coding
C16_NA_LUT_Up-159	chr11	111694815	111695219	+	0	NA	intron (NM_015191, intron 4 of 14)	intron (NM_015191, intron 4 of 14)	71372	NM_181699	5519		NM_002716	ENSG00000137713	PPP2R1B	PP2A-Abeta|PR65B	protein phosphatase 2 scaffold subunit Abeta	protein-coding
C16_NA_LUT_Up-805	chr3	16448656	16448930	+	0	NA	intron (NM_015150, intron 2 of 9)	intron (NM_015150, intron 2 of 9)	64906	NM_015150	23180		NM_015150	ENSG00000131378	RFTN1	MIG2|PIB10|PIG9|RAFTLIN	raftlin, lipid raft linker 1	protein-coding
C16_NA_LUT_Up-273	chr12	81726624	81727136	+	0	NA	intron (NM_001220475, intron 2 of 30)	MLT1I|LTR|ERVL-MaLR	31627	NM_001220475	8499		NM_003625	ENSG00000139220	PPFIA2	-	PTPRF interacting protein alpha 2	protein-coding
C16_NA_LUT_Up-1054	chr4	99446702	99447790	+	0	NA	Intergenic	Intergenic	-11736	NM_000673	131		NM_000673	ENSG00000196344	ADH7	ADH4	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	protein-coding
