PeakID (cmd=annotatePeaks.pl - hg38 -go results/C16_Up_LUT_NA)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SPP2	chr2	234158892	234159218	+	0	NA	Intergenic	Intergenic	108353	NM_006944	6694		NM_006944	ENSG00000072080	SPP2	SPP-24|SPP24	secreted phosphoprotein 2	protein-coding
LINC02353	chr4	33172264	33172468	+	0	NA	Intergenic	MamRTE1|LINE|RTE-BovB	821328	NR_134672	101927363		NR_134672	ENSG00000251329	LINC02353	-	long intergenic non-protein coding RNA 2353	ncRNA
RALGPS1	chr9	126979669	126980805	+	0	NA	intron (NM_001190729, intron 4 of 17)	intron (NM_001190729, intron 4 of 17)	18012	NM_001366401	9649		NM_014636	ENSG00000136828	RALGPS1	RALGEF2|RALGPS1A	Ral GEF with PH domain and SH3 binding motif 1	protein-coding
KLF4	chr9	108083217	108083762	+	0	NA	Intergenic	Intergenic	-593720	NM_001314052	9314		NM_004235	ENSG00000136826	KLF4	EZF|GKLF	KLF transcription factor 4	protein-coding
KCTD12	chr13	76512706	76513111	+	0	NA	Intergenic	Intergenic	373497	NM_138444	115207		NM_138444	ENSG00000178695	KCTD12	C13orf2|PFET1|PFETIN	potassium channel tetramerization domain containing 12	protein-coding
SIPA1L2	chr1	232613820	232614990	+	0	NA	intron (NM_001377488, intron 1 of 21)	intron (NM_001377488, intron 1 of 21)	15728	NM_020808	57568		NM_020808	ENSG00000116991	SIPA1L2	SPAL2|SPAR2	signal induced proliferation associated 1 like 2	protein-coding
GNPDA2	chr4	45036666	45036986	+	0	NA	Intergenic	Intergenic	-310192	NM_001270880	132789		NM_138335	ENSG00000163281	GNPDA2	GNP2|SB52	glucosamine-6-phosphate deaminase 2	protein-coding
LINC01170	chr5	123996827	123998406	+	0	NA	Intergenic	Intergenic	440904	NR_125774	103724389		NR_125774		LINC01170	-	long intergenic non-protein coding RNA 1170	ncRNA
UNC5D	chr8	35486893	35487438	+	0	NA	intron (NM_080872, intron 1 of 16)	intron (NM_080872, intron 1 of 16)	-57227	NM_001322818	137970		NM_080872	ENSG00000156687	UNC5D	PRO34692|Unc5h4	unc-5 netrin receptor D	protein-coding
FBXW7	chr4	152424926	152425406	+	0	NA	intron (NM_001349798, intron 2 of 13)	L2|LINE|L2	-42637	NM_001013415	55294		NM_018315	ENSG00000109670	FBXW7	AGO|CDC4|DEDHIL|FBW6|FBW7|FBX30|FBXO30|FBXW6|SEL-10|SEL10|hAgo|hCdc4	F-box and WD repeat domain containing 7	protein-coding
LINC01375	chr10	90227327	90228055	+	0	NA	Intergenic	L1MEf|LINE|L1	-270318	NR_110655	101926924		NR_110655	ENSG00000226159	LINC01375	-	long intergenic non-protein coding RNA 1375	ncRNA
SDR16C5	chr8	56303245	56304361	+	0	NA	intron (NM_138969, intron 6 of 6)	intron (NM_138969, intron 6 of 6)	16973	NM_001318049	195814		NM_138969	ENSG00000170786	SDR16C5	EPHD-2|RDH#2|RDH-E2|RDHE2|retSDR2	short chain dehydrogenase/reductase family 16C member 5	protein-coding
PLS3	chrX	115549144	115549323	+	0	NA	intron (NR_110383, intron 2 of 4)	intron (NR_110383, intron 2 of 4)	-11941	NM_005032	5358		NM_005032	ENSG00000102024	PLS3	BMND18|DIH5|T-plastin	plastin 3	protein-coding
MTRNR2L7	chr10	37572236	37572553	+	0	NA	Intergenic	Intergenic	30537	NM_001190489	100288485		NM_001190489		MTRNR2L7	HN7	MT-RNR2 like 7 (pseudogene)	pseudo
LINC02198	chr5	68842754	68843259	+	0	NA	Intergenic	Intergenic	186921	NR_130778	101928885		NR_130778		LINC02198	-	long intergenic non-protein coding RNA 2198	ncRNA
BDNF	chr11	27796120	27796971	+	0	NA	Intergenic	Intergenic	-74515	NM_170731	627		NM_001709	ENSG00000176697	BDNF	ANON2|BULN2	brain derived neurotrophic factor	protein-coding
PLXNA2	chr1	208455758	208456652	+	0	NA	Intergenic	L3b|LINE|CR1	-211821	NM_025179	5362		NM_025179	ENSG00000076356	PLXNA2	OCT|PLXN2	plexin A2	protein-coding
NRG1	chr8	31573360	31574034	+	0	NA	Intergenic	L1MB3|LINE|L1	-66055	NM_013962	3084		NM_004495	ENSG00000157168	NRG1	ARIA|GGF|GGF2|HGL|HRG|HRG1|HRGA|MST131|MSTP131|NDF|NRG1-IT2|SMDF	neuregulin 1	protein-coding
MIR548F2	chr2	212282796	212283297	+	0	NA	intron (NM_005235, intron 1 of 27)	intron (NM_005235, intron 1 of 27)	143314	NR_031643	100313771		NR_031643	ENSG00000221782	MIR548F2	MIR548F-2|MIRN548F2|hsa-mir-548f-2	microRNA 548f-2	ncRNA
RBP2	chr3	139457069	139457406	+	0	NA	intron (NM_004164, intron 2 of 3)	intron (NM_004164, intron 2 of 3)	19279	NM_004164	5948		NM_004164	ENSG00000114113	RBP2	CRABP-II|CRBP2|CRBPII|RBPC2	retinol binding protein 2	protein-coding
LOC105369146	chr7	81284769	81285577	+	0	NA	Intergenic	L1PA16|LINE|L1	276646	NR_136264	105369146		NR_136264		LOC105369146	-	uncharacterized LOC105369146	ncRNA
ASTN2	chr9	117485073	117485435	+	0	NA	Intergenic	Intergenic	-70197	NM_001365068	23245		NM_014010	ENSG00000148219	ASTN2	bA67K19.1	astrotactin 2	protein-coding
RASSF10-2	chr11	13003677	13004274	+	0	NA	Intergenic	Intergenic	-5341	NM_001080521	644943		NM_001080521	ENSG00000189431	RASSF10	-	Ras association domain family member 10	protein-coding
GUSBP19	chr5	100270259	100270655	+	0	NA	Intergenic	Intergenic	117797	NR_027503	100133050		NR_027503		GUSBP19	-	GUSB pseudogene 19	pseudo
NELL2	chr12	44554968	44556373	+	0	NA	intron (NM_001145108, intron 15 of 19)	intron (NM_001145108, intron 15 of 19)	319991	NM_001145109	4753		NM_006159	ENSG00000184613	NELL2	NRP2	neural EGFL like 2	protein-coding
DACH2	chrX	86370296	86370478	+	0	NA	intron (NM_001139515, intron 1 of 11)	MamRTE1|LINE|RTE-BovB	107419	NM_001139515	117154		NM_053281	ENSG00000126733	DACH2	-	dachshund family transcription factor 2	protein-coding
LINC01288-2	chr8	34432941	34433751	+	0	NA	Intergenic	Intergenic	-350575	NR_125746	103689844		NR_125746		LINC01288	TCONS_00014671	long intergenic non-protein coding RNA 1288	ncRNA
C5orf63	chr5	127076322	127077105	+	0	NA	Intergenic	Intergenic	-3221	NM_001164478	401207		NM_001164478	ENSG00000164241	C5orf63	YDR286C	chromosome 5 open reading frame 63	protein-coding
ARHGEF3-AS1	chr3	56930814	56931437	+	0	NA	intron (NM_001377407, intron 3 of 12)	intron (NM_001377407, intron 3 of 12)	-8915	NR_046572	100874200		NR_046572	ENSG00000240198	ARHGEF3-AS1	-	ARHGEF3 antisense RNA 1	ncRNA
PCP4	chr21	39845459	39846196	+	0	NA	Intergenic	Intergenic	-21611	NM_006198	5121		NM_006198	ENSG00000183036	PCP4	PEP-19	Purkinje cell protein 4	protein-coding
DNAH9-2	chr17	11511886	11512404	+	0	NA	intron (NM_001173462, intron 3 of 4)	intron (NM_001173462, intron 3 of 4)	-86325	NM_001372	1770		NM_001372	ENSG00000007174	DNAH9	CILD40|DNAH17L|DNEL1|DYH9|Dnahc9|HL-20|HL20	dynein axonemal heavy chain 9	protein-coding
DERL1	chr8	122927666	122928036	+	0	NA	intron (NM_001362797, intron 3 of 4)	intron (NM_001362797, intron 3 of 4)	97921	NM_001363963	79139		NM_024295	ENSG00000136986	DERL1	DER-1|DER1|derlin-1	derlin 1	protein-coding
CWC22	chr2	180040265	180040991	+	0	NA	Intergenic	L1MB8|LINE|L1	-33331	NM_020943	57703		NM_020943	ENSG00000163510	CWC22	EIF4GL|NCM|fSAPb	CWC22 spliceosome associated protein homolog	protein-coding
FAM87A	chr8	384562	385232	+	0	NA	Intergenic	Intergenic	-1723	NR_103537	157693		NR_103537	ENSG00000182366	FAM87A	-	family with sequence similarity 87 member A	ncRNA
MIR548F3-2	chr5	110386817	110387131	+	0	NA	Intergenic	Intergenic	126941	NR_031644	100302159		NR_031644	ENSG00000221436	MIR548F3	MIR548F-3|MIRN548F3|hsa-mir-548f-3	microRNA 548f-3	ncRNA
CRACDL	chr2	98917011	98917434	+	0	NA	intron (NM_207362, intron 1 of 9)	L1ME4a|LINE|L1	19003	NM_207362	343990		NM_207362	ENSG00000196872	CRACDL	C2orf55|KIAA1211L	CRACD like	protein-coding
LZTS1	chr8	20413786	20414038	+	0	NA	Intergenic	Intergenic	-109949	NM_021020	11178		NM_021020	ENSG00000061337	LZTS1	F37|FEZ1	leucine zipper tumor suppressor 1	protein-coding
NOX4	chr11	89496018	89496216	+	0	NA	intron (NM_001143837, intron 3 of 20)	intron (NM_001143837, intron 3 of 20)	-3898	NM_001300995	50507		NM_016931	ENSG00000086991	NOX4	KOX|KOX-1|RENOX	NADPH oxidase 4	protein-coding
DDX53	chrX	22652671	22653007	+	0	NA	intron (NR_073010, intron 4 of 11)	intron (NR_073010, intron 4 of 11)	-347121	NM_182699	168400		NM_182699	ENSG00000184735	DDX53	CAGE|CT26	DEAD-box helicase 53	protein-coding
CNKSR2	chrX	21056665	21056969	+	0	NA	Intergenic	L1MA9|LINE|L1	-317601	NM_001330772	22866		NM_014927	ENSG00000149970	CNKSR2	CNK2|KSR2|MAGUIN|MRXSHG	connector enhancer of kinase suppressor of Ras 2	protein-coding
CAPS2	chr12	75389028	75389392	+	0	NA	intron (NR_149157, intron 1 of 11)	intron (NR_149157, intron 1 of 11)	1691	NM_001355031	84698		NM_032606	ENSG00000180881	CAPS2	UG0636c06	calcyphosine 2	protein-coding
GLDC	chr9	6563045	6563302	+	0	NA	intron (NM_000170, intron 16 of 24)	intron (NM_000170, intron 16 of 24)	82556	NM_000170	2731		NM_000170	ENSG00000178445	GLDC	GCE|GCE1|GCSP|HYGN1	glycine decarboxylase	protein-coding
EPHA4	chr2	220959232	220959958	+	0	NA	Intergenic	L1MEg1|LINE|L1	612709	NM_004438	2043		NM_004438	ENSG00000116106	EPHA4	EK8|HEK8|SEK|TYRO1	EPH receptor A4	protein-coding
LINC02024	chr3	117661062	117661821	+	0	NA	Intergenic	Intergenic	29484	NR_146652	105374057		NR_146652	ENSG00000241213	LINC02024	-	long intergenic non-protein coding RNA 2024	ncRNA
NT5DC3	chr12	103880056	103880872	+	0	NA	intron (NR_027249, intron 9 of 15)	intron (NR_027249, intron 9 of 15)	-39230	NM_001031701	51559		NM_016575	ENSG00000111696	NT5DC3	TU12B1-TY|TU12B1TY	5'-nucleotidase domain containing 3	protein-coding
MPEG1	chr11	59284690	59286110	+	0	NA	Intergenic	Intergenic	-72473	NM_001039396	219972		NM_001039396	ENSG00000197629	MPEG1	IMD77|MPG1|MPS1|Mpg-1|P-2	macrophage expressed 1	protein-coding
GRIP1	chr12	66662826	66663095	+	0	NA	intron (NM_001379351, intron 1 of 22)	L4_C_Mam|LINE|RTE-X	16116	NM_021150	23426		NM_021150	ENSG00000155974	GRIP1	FRASRS3|GRIP	glutamate receptor interacting protein 1	protein-coding
FGF10-AS1	chr5	44001850	44002784	+	0	NA	Intergenic	Intergenic	-386415	NR_108034	101927075		NR_108034	ENSG00000248464	FGF10-AS1	-	FGF10 antisense RNA 1	ncRNA
SERPINE2	chr2	224145937	224146267	+	0	NA	Intergenic	Intergenic	-106783	NM_006216	5270		NM_006216	ENSG00000135919	SERPINE2	GDN|GDNPF|PI-7|PI7|PN-1|PN1|PNI	serpin family E member 2	protein-coding
LINC01312	chr6	133551612	133552480	+	0	NA	intron (NR_109982, intron 5 of 8)	intron (NR_109982, intron 5 of 8)	-269101	NR_027030	154089		NM_153224		LINC01312	-	long intergenic non-protein coding RNA 1312	ncRNA
PIRT	chr17	10930898	10931590	+	0	NA	Intergenic	MER5B|DNA|hAT-Charlie	-93157	NM_001101387	644139		NM_001101387	ENSG00000233670	PIRT	-	phosphoinositide interacting regulator of transient receptor potential channels	protein-coding
ME3	chr11	86678853	86679087	+	0	NA	Intergenic	Intergenic	-6334	NM_001161586	10873		NM_006680	ENSG00000151376	ME3	NADP-ME	malic enzyme 3	protein-coding
FLJ46284	chr8	92758046	92759228	+	0	NA	intron (NR_046114, intron 1 of 2)	intron (NR_046114, intron 1 of 2)	27423	NR_046114	441369		NR_046114	ENSG00000248858	FLJ46284	-	uncharacterized LOC441369	ncRNA
SLC25A46	chr5	110769385	110769628	+	0	NA	Intergenic	Intergenic	30499	NM_138773	91137		NM_138773	ENSG00000164209	SLC25A46	HMSN6B|PCH1E	solute carrier family 25 member 46	protein-coding
LINC03027	chr10	22560706	22561340	+	0	NA	intron (NM_001330062, intron 6 of 9)	intron (NM_001330062, intron 6 of 9)	-123094	NR_036533	100499489		NR_036533		LINC03027	-	long intergenic non-protein coding RNA 3027	ncRNA
TMEM255A	chrX	120316707	120316889	+	0	NA	Intergenic	Tigger3b|DNA|TcMar-Tigger	-5262	NM_001104545	55026		NM_017938	ENSG00000125355	TMEM255A	FAM70A	transmembrane protein 255A	protein-coding
LINC00922	chr16	65494220	65494648	+	0	NA	intron (NR_027755, intron 2 of 8)	L3|LINE|CR1	81866	NR_027755	283867		NM_001101346	ENSG00000261742	LINC00922	Lnc-LALC	long intergenic non-protein coding RNA 922	ncRNA
DPP6	chr7	153674752	153675528	+	0	NA	Intergenic	Intergenic	-72993	NM_001364499	1804		NM_001936	ENSG00000130226	DPP6	DPL1|DPPX|MRD33|VF2	dipeptidyl peptidase like 6	protein-coding
GUSBP1	chr5	21219218	21220199	+	0	NA	Intergenic	MER67B|LTR|ERV1	-239772	NR_027027	728411		NM_207331	ENSG00000291102	GUSBP1	-	GUSB pseudogene 1	pseudo
HTR2A	chr13	47175338	47175912	+	0	NA	Intergenic	L2a|LINE|L2	-277543	NM_001378924	3356		NM_000621	ENSG00000102468	HTR2A	5-HT2A|HTR2	5-hydroxytryptamine receptor 2A	protein-coding
VRK2	chr2	57981288	57981775	+	0	NA	intron (NM_001288837, intron 1 of 15)	L1PA15|LINE|L1	-65111	NM_001288839	7444		NM_006296	ENSG00000028116	VRK2	-	VRK serine/threonine kinase 2	protein-coding
DOK6	chr18	69387044	69387374	+	0	NA	Intergenic	Intergenic	-13679	NM_152721	220164		NM_152721	ENSG00000206052	DOK6	DOK5L|HsT3226	docking protein 6	protein-coding
LINC02542	chr6	82084302	82084861	+	0	NA	intron (NR_149135, intron 1 of 3)	intron (NR_149135, intron 1 of 3)	17184	NR_149135	102724168		NR_149134		LINC02542	-	long intergenic non-protein coding RNA 2542	ncRNA
MARVELD3	chr16	71637392	71638099	+	0	NA	intron (NM_001017967, intron 2 of 2)	intron (NM_001017967, intron 2 of 2)	11561	NM_001017967	91862		NM_052858	ENSG00000140832	MARVELD3	MARVD3|MRVLDC3	MARVEL domain containing 3	protein-coding
CACNA1C-IT3	chr12	2341857	2342769	+	0	NA	intron (NM_199460, intron 3 of 49)	intron (NM_199460, intron 3 of 49)	72537	NR_046769	100874370		NR_046769		CACNA1C-IT3	-	CACNA1C intronic transcript 3	ncRNA
LINC02615	chr4	128475262	128475567	+	0	NA	intron (NR_125882, intron 4 of 8)	intron (NR_125882, intron 4 of 8)	47398	NR_125882	100507487		NR_125882	ENSG00000251432	LINC02615	-	long intergenic non-protein coding RNA 2615	ncRNA
LINC00971-2	chr3	84476632	84477525	+	0	NA	Intergenic	Intergenic	392497	NR_033860	440970		NR_033860	ENSG00000242641	LINC00971	-	long intergenic non-protein coding RNA 971	ncRNA
LINC02039	chr5	126139632	126140291	+	0	NA	Intergenic	Intergenic	-39616	NR_105042	102546228		NR_105042	ENSG00000248107	LINC02039	-	long intergenic non-protein coding RNA 2039	ncRNA
LINC01473	chr2	186275126	186275391	+	0	NA	Intergenic	MER4CL34|LTR|ERV1	-188941	NR_110218	101927217		NR_110218		LINC01473	-	long intergenic non-protein coding RNA 1473	ncRNA
FRMPD4	chrX	11953587	11953969	+	0	NA	intron (NM_001368395, intron 3 of 18)	intron (NM_001368395, intron 3 of 18)	-111763	NM_001368402	9758		NM_014728	ENSG00000169933	FRMPD4	MRX104|PDZD10|PDZK10|XLID104	FERM and PDZ domain containing 4	protein-coding
LOC105376194	chr9	104232758	104233225	+	0	NA	Intergenic	Intergenic	-37238	NR_135141	105376194		NR_135141		LOC105376194	-	uncharacterized LOC105376194	ncRNA
SYT9-AS1	chr11	7444333	7445361	+	0	NA	intron (NR_103855, intron 4 of 4)	intron (NR_103855, intron 4 of 4)	20988	NR_103855	100506258		NR_103855	ENSG00000251364	SYT9-AS1	-	SYT9 antisense RNA 1	ncRNA
TMEM17	chr2	62577911	62579104	+	0	NA	Intergenic	Intergenic	-72312	NM_198276	200728		NM_198276	ENSG00000186889	TMEM17	-	transmembrane protein 17	protein-coding
LYG1	chr2	99278638	99279223	+	0	NA	Intergenic	Intergenic	22267	NM_174898	129530		NM_174898	ENSG00000144214	LYG1	LYGA1|SALW1939	lysozyme g1	protein-coding
PALLD	chr4	168634352	168634628	+	0	NA	intron (NM_001166109, intron 1 of 18)	intron (NM_001166109, intron 1 of 18)	2912	NM_001166109	23022		NM_016081	ENSG00000129116	PALLD	CGI-151|CGI151|MYN|PNCA1|SIH002	palladin, cytoskeletal associated protein	protein-coding
IGFBP3	chr7	46071117	46071824	+	0	NA	Intergenic	Intergenic	-150198	NM_000598	3486		NM_000598	ENSG00000146674	IGFBP3	BP-53|IBP-3|IBP3|IGFBP-3	insulin like growth factor binding protein 3	protein-coding
NIPAL2	chr8	98304829	98305415	+	0	NA	Intergenic	MLT2B4|LTR|ERVL	-10887	NM_001321635	79815		NM_024759	ENSG00000104361	NIPAL2	NPAL2|SLC57A4	NIPA like domain containing 2	protein-coding
CHRM3	chr1	239533516	239534021	+	0	NA	intron (NR_164748, intron 2 of 8)	THE1C|LTR|ERVL-MaLR	-95305	NM_000740	1131		NM_000740	ENSG00000133019	CHRM3	EGBRS|HM3|PBS|m3AChR	cholinergic receptor muscarinic 3	protein-coding
DUSP26	chr8	33895041	33896225	+	0	NA	Intergenic	Intergenic	-295527	NM_001305115	78986		NM_024025	ENSG00000133878	DUSP26	DSP-4|DUSP24|LDP-4|LDP4|MKP-8|MKP8|NATA1|NEAP|SKRP3	dual specificity phosphatase 26	protein-coding
NECTIN3-AS1-2	chr3	110579546	110580545	+	0	NA	Intergenic	Intergenic	489914	NR_045114	100506555		NR_045114		NECTIN3-AS1	PVRL3-AS1	NECTIN3 antisense RNA 1	ncRNA
POU3F4	chrX	82813696	82814093	+	0	NA	Intergenic	Intergenic	-694396	NM_000307	5456		NM_000307	ENSG00000196767	POU3F4	BRAIN-4|BRN-4|BRN4|DFN3|DFNX2|OCT-9|OTF-9|OTF9	POU class 3 homeobox 4	protein-coding
LOC101927421	chr5	125043672	125044487	+	0	NA	intron (NR_109882, intron 2 of 5)	intron (NR_109882, intron 2 of 5)	7248	NR_109882	101927421		NR_109882		LOC101927421	-	uncharacterized LOC101927421	ncRNA
DNAJC5B	chr8	65973681	65974338	+	0	NA	Intergenic	MLT1A1-int|LTR|ERVL-MaLR	-40969	NM_001349432	85479		NM_033105	ENSG00000147570	DNAJC5B	CSP-beta	DnaJ heat shock protein family (Hsp40) member C5 beta	protein-coding
NRCAM	chr7	108311649	108311970	+	0	NA	intron (NM_001371126, intron 3 of 32)	intron (NM_001371126, intron 3 of 32)	16717	NM_001371176	4897		NM_005010	ENSG00000091129	NRCAM	NEDNMS	neuronal cell adhesion molecule	protein-coding
LCORL-3	chr4	18882553	18882769	+	0	NA	Intergenic	L2c|LINE|L2	-860786	NM_153686	254251		NM_153686	ENSG00000178177	LCORL	MLR1	ligand dependent nuclear receptor corepressor like	protein-coding
ALDH1A1-2	chr9	72977701	72978303	+	0	NA	Intergenic	Intergenic	-24949	NM_000689	216		NM_000689	ENSG00000165092	ALDH1A1	ALDC|ALDH-E1|ALDH1|ALDH11|HEL-9|HEL-S-53e|HEL12|PUMB1|RALDH1	aldehyde dehydrogenase 1 family member A1	protein-coding
HPGD	chr4	174494859	174495172	+	0	NA	intron (NM_001256306, intron 3 of 4)	L2|LINE|L2	27473	NM_000860	3248		NM_000860	ENSG00000164120	HPGD	15-PGDH|PGDH|PGDH1|PHOAR1|SDR36C1	15-hydroxyprostaglandin dehydrogenase	protein-coding
SNORA108	chr18	58603424	58603910	+	0	NA	intron (NM_052947, intron 3 of 12)	intron (NM_052947, intron 3 of 12)	3047	NR_132963	106635543		NR_132963		SNORA108	-	small nucleolar RNA, H/ACA box 108	snoRNA
GPRIN3	chr4	89294567	89295678	+	0	NA	intron (NM_198281, intron 1 of 1)	intron (NM_198281, intron 1 of 1)	12678	NM_198281	285513		NM_198281	ENSG00000185477	GPRIN3	GRIN3	GPRIN family member 3	protein-coding
SPMIP2	chr4	159005980	159006886	+	0	NA	intron (NM_152543, intron 1 of 4)	intron (NM_152543, intron 1 of 4)	28796	NM_152543	152940		NM_152543	ENSG00000164123	SPMIP2	C4orf45	sperm microtubule inner protein 2	protein-coding
CXCR4-2	chr2	136136383	136137438	+	0	NA	Intergenic	Intergenic	-18761	NM_003467	7852		NM_003467	ENSG00000121966	CXCR4	CD184|D2S201E|FB22|HM89|HSY3RR|LAP-3|LAP3|LCR1|LESTR|NPY3R|NPYR|NPYRL|NPYY3R|WHIM|WHIMS|WHIMS1	C-X-C motif chemokine receptor 4	protein-coding
LINC02648	chr10	6621616	6621985	+	0	NA	non-coding (NR_120634, exon 3 of 6)	non-coding (NR_120634, exon 3 of 6)	3084	NR_120634	101928150		NR_120634		LINC02648	-	long intergenic non-protein coding RNA 2648	ncRNA
PDGFC	chr4	156638990	156639667	+	0	NA	Intergenic	L2a|LINE|L2	332471	NM_016205	56034		NM_016205	ENSG00000145431	PDGFC	FALLOTEIN|SCDGF	platelet derived growth factor C	protein-coding
CDH11	chr16	63628671	63629463	+	0	NA	Intergenic	Intergenic	1492996	NM_001797	1009		NM_001797	ENSG00000140937	CDH11	CAD11|CDHOB|ESWS|OB|OSF-4|TBHS2	cadherin 11	protein-coding
INTU	chr4	126778536	126778893	+	0	NA	Intergenic	MIR|SINE|MIR	-854243	NM_015693	27152		NM_015693	ENSG00000164066	INTU	CPLANE4|INT|OFD17|PDZD6|PDZK6|SRTD20	inturned planar cell polarity protein	protein-coding
MIR7702	chr9	111233179	111234111	+	0	NA	Intergenic	Intergenic	37569	NR_106989	102465800		NR_106989	ENSG00000274263	MIR7702	hsa-mir-7702	microRNA 7702	ncRNA
PCGEM1	chr2	192506093	192506552	+	0	NA	Intergenic	LTR7|LTR|ERV1	-243523	NR_002769	64002		NR_002769	ENSG00000227418	PCGEM1	LINC00071|NCRNA00071|PCAT9	PCGEM1 prostate-specific transcript	ncRNA
MIR588	chr6	126535267	126535825	+	0	NA	Intergenic	Intergenic	50915	NR_030316	693173		NR_030316	ENSG00000207632	MIR588	MIRN588|hsa-mir-588	microRNA 588	ncRNA
NMUR2	chr5	152601914	152602222	+	0	NA	Intergenic	Intergenic	-196789	NM_020167	56923		NM_020167	ENSG00000132911	NMUR2	FM-4|FM4|NMU-R2|NMU2R|TGR-1|TGR1	neuromedin U receptor 2	protein-coding
LOC101929452	chr2	7209737	7210340	+	0	NA	Intergenic	Intergenic	-132158	NR_110252	101929452		NR_110252	ENSG00000223884	LOC101929452	-	uncharacterized LOC101929452	ncRNA
LINC00466	chr1	63175479	63176072	+	0	NA	intron (NR_038252, intron 6 of 11)	Tigger1|DNA|TcMar-Tigger	141482	NR_038252	199899		NR_038252	ENSG00000224209	LINC00466	-	long intergenic non-protein coding RNA 466	ncRNA
MIR4320-2	chr18	50131642	50132039	+	0	NA	intron (NM_001080467, intron 1 of 39)	intron (NM_001080467, intron 1 of 39)	-5277	NR_036204	100422865		NR_036204	ENSG00000283343	MIR4320	-	microRNA 4320	ncRNA
TEX36-AS1	chr10	125584798	125585456	+	0	NA	intron (NM_001318133, intron 3 of 3)	LTR16D1|LTR|ERVL	10756	NR_023362	100169752		NR_023362	ENSG00000237675	TEX36-AS1	-	TEX36 antisense RNA 1	ncRNA
LOC102606466	chr20	12573678	12574397	+	0	NA	Intergenic	LTR16A1|LTR|ERVL	362926	NR_109872	102606466		NR_109872		LOC102606466	-	uncharacterized LOC102606466	ncRNA
SAMD12-AS1	chr8	118439582	118440578	+	0	NA	intron (NM_207506, intron 2 of 3)	intron (NM_207506, intron 2 of 3)	-180921	NR_038210	552860		NR_038210		SAMD12-AS1	C8orf26|NCRNA00252	SAMD12 antisense RNA 1	ncRNA
LINC01724	chr1	195125154	195125597	+	0	NA	Intergenic	ERVL-E-int|LTR|ERVL	963340	NR_146895	105371673		NR_146895		LINC01724	-	long intergenic non-protein coding RNA 1724	ncRNA
LINC00251-2	chr8	64994953	64995949	+	0	NA	Intergenic	Intergenic	184889	NR_038901	552859		NR_038901	ENSG00000280725	LINC00251	C8orf25|NCRNA00251	long intergenic non-protein coding RNA 251	ncRNA
MIR620	chr12	116153842	116154258	+	0	NA	intron (NM_015335, intron 2 of 30)	intron (NM_015335, intron 2 of 30)	-5396	NR_030351	693205		NR_030351	ENSG00000207967	MIR620	MIRN620|hsa-mir-620	microRNA 620	ncRNA
FABP12	chr8	81539588	81539960	+	0	NA	Intergenic	Intergenic	-8384	NR_144370	646486		NM_001105281	ENSG00000197416	FABP12	-	fatty acid binding protein 12	protein-coding
HINT1	chr5	130605338	130605594	+	0	NA	Intergenic	Intergenic	559790	NM_005340	3094		NM_005340	ENSG00000169567	HINT1	HINT|NMAN|PKCI-1|PRKCNH1	histidine triad nucleotide binding protein 1	protein-coding
DELEC1	chr9	115170390	115171343	+	0	NA	intron (NR_163556, intron 1 of 7)	intron (NR_163556, intron 1 of 7)	29048	NR_163556	50514		NM_017418	ENSG00000173077	DELEC1	CTS9|DEC1	deleted in esophageal cancer 1	ncRNA
FHDC1	chr4	152973028	152973643	+	0	NA	intron (NM_001371116, intron 11 of 11)	intron (NM_001371116, intron 11 of 11)	30352	NM_033393	85462		NM_033393	ENSG00000137460	FHDC1	INF1	FH2 domain containing 1	protein-coding
SYNPR-AS1	chr3	63537339	63537719	+	0	NA	intron (NM_144642, intron 2 of 4)	L2c|LINE|L2	12522	NR_046677	100874016		NR_046677	ENSG00000241359	SYNPR-AS1	-	SYNPR antisense RNA 1	ncRNA
GARIN6	chr12	99565401	99566327	+	0	NA	intron (NM_001352186, intron 9 of 26)	MLT1E1-int|LTR|ERVL-MaLR	-81889	NM_153364	196472		NM_153364	ENSG00000180219	GARIN6	FAM71C	golgi associated RAB2 interactor family member 6	protein-coding
MIR4668-2	chr9	111994643	111995259	+	0	NA	Intergenic	Tigger1|DNA|TcMar-Tigger	62851	NR_039814	100616114		NR_039814	ENSG00000266315	MIR4668	mir-4668	microRNA 4668	ncRNA
ARHGEF26	chr3	154057442	154058189	+	0	NA	intron (NR_037901, intron 2 of 3)	intron (NR_037901, intron 2 of 3)	-63188	NM_001251962	26084		NM_015595	ENSG00000114790	ARHGEF26	CSGEF|HMFN1864|SGEF	Rho guanine nucleotide exchange factor 26	protein-coding
MAP2	chr2	209474006	209474300	+	0	NA	intron (NM_001375502, intron 1 of 14)	intron (NM_001375502, intron 1 of 14)	50106	NM_001375495	4133		NM_002374	ENSG00000078018	MAP2	MAP-2|MAP2A|MAP2B|MAP2C	microtubule associated protein 2	protein-coding
CCN3	chr8	119427180	119428190	+	0	NA	Intergenic	Intergenic	11239	NM_002514	4856		NM_002514	ENSG00000136999	CCN3	IBP-9|IGFBP-9|IGFBP9|NOV|NOVh	cellular communication network factor 3	protein-coding
